Time,Position->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Velocity->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Current->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6
0,,1.951165676,-1.720399205,0.508533716,-1.786067311,4.748374462,3.156612635,,0,-0.00322136,-0.00483204,0,0,0,,-1.082794547,-1.82259202,-0.269017279,-0.033550907,0.018300494,-0.176904783
0.007930112,,1.951177597,-1.720446889,0.508485794,-1.786126439,4.748386383,3.156600714,,0.003029612,-0.003272492,-0.004947088,0,0,0,,-1.058134556,-1.923473477,-0.210730195,-0.018300494,0.02745074,-0.251631796
0.015970048,,1.95121336,-1.72050697,0.508437872,-1.786103074,4.748398304,3.156552792,,0.005381716,-0.005701296,-0.003579288,0,0,-0.003115899,,-1.25317204,-1.887604475,-0.289193571,-0.010675289,0.019825535,-0.21198073
0.023990016,,1.951249599,-1.720530812,0.50838995,-1.786091153,4.748410225,3.156504869,,0.002710033,-0.006072008,-0.00773382,0,0,-0.006279734,,-0.999847531,-1.990727782,-0.450603932,0.006100165,0.022875618,-0.224181056
0.031869952,,1.951309204,-1.720614735,0.508330405,-1.786079232,4.748434067,3.156456947,,0.012489161,-0.010673949,-0.011389808,0,0,-0.007693873,,-1.150048852,-2.084883928,-0.322820723,0.042701155,0.01372537,-0.230281219
0.040009984,,1.951357365,-1.720662896,0.508246481,-1.786031071,4.748386383,3.156301498,,0.006851781,-0.012118449,-0.011581555,0,0,-0.016777916,,-0.990880251,-1.952617049,-0.486472875,0.061001647,-0.007625206,-0.219605923
0.047960064,,1.951453209,-1.720806901,0.508114696,-1.785983388,4.748410225,3.156205654,,0.015953401,-0.015863918,-0.015020229,0,0,-0.016442357,,-0.97967124,-2.053498507,-0.41921857,0.068626851,0.001525041,-0.192155182
0.055960064,,1.951560974,-1.720938985,0.508019149,-1.785959069,4.748422146,3.156062126,,0.012438028,-0.015237543,-0.015646605,0.008364989,0,-0.02274606,,-1.015540123,-1.943649769,-0.529067278,-0.01372537,0.004575124,-0.187580064
0.064,,1.951668739,-1.721070592,0.507851422,-1.785935227,4.748422146,3.155882835,,0.015493207,-0.019583821,-0.020721525,0.00417051,0,-0.021595575,,-0.925867736,-1.986244202,-0.508890986,-0.009150247,0.003050082,-0.073201977
0.07195008,,1.951813221,-1.721262757,0.507755876,-1.785983388,4.748386383,3.15572691,,0.018919097,-0.019839486,-0.021207284,0.002756372,0,-0.025454495,,-1.134356141,-1.934682488,-0.668059528,0.03965107,0.001525041,-0.105227843
0.080019968,,1.95196867,-1.721382443,0.507540524,-1.785935227,4.748398304,3.155488014,,0.019634955,-0.023252593,-0.025131719,0.002037318,0,-0.025694178,,-0.995363891,-1.975035071,-0.70168668,0.07930214,-0.001525041,0
0.087899904,,1.952124596,-1.721598927,0.507373154,-1.785899464,4.748410225,3.155296326,,0.021079453,-0.02417298,-0.029669745,0.001725729,0,-0.03079946,,-0.999847531,-1.912264347,-0.70168668,0.125053376,-0.004575124,-0.024400659
0.095919872,,1.952280045,-1.72185022,0.507145822,-1.78576738,4.748410225,3.155069113,,0.022281071,-0.025566347,-0.029797578,0.01176851,0,-0.028043088,,-0.950527668,-1.948133349,-0.809293628,-0.041176111,0.001525041,0.015250412
0.103970048,,1.95243597,-1.722018544,0.506882548,-1.785791222,4.748410225,3.154865742,,0.025873143,-0.027931234,-0.032763273,0.00479369,0,-0.032980587,,-1.069343686,-1.892088056,-0.883273363,0.015250412,0,-0.015250412
0.111919872,,1.952640057,-1.722269837,0.506630898,-1.785743539,4.748422146,3.154578447,,0.022856314,-0.030756315,-0.036559876,0.002996056,0,-0.035880771,,-0.921384156,-1.856219172,-0.970703959,0.086927347,-0.004575124,-0.065576769
0.119970048,,1.952879906,-1.722522084,0.506367981,-1.785707776,4.748398304,3.154279232,,0.028800489,-0.032188032,-0.038809713,0.012727248,0,-0.041010018,,-0.943802238,-1.878637195,-1.046925545,0.10675288,-0.016775453,-0.131153539
0.127879936,,1.953059673,-1.722822014,0.506056368,-1.785611931,4.748410225,3.153992176,,0.027202593,-0.034118291,-0.041225735,0.007621967,0,-0.041753042,,-0.84292078,-1.82035017,-1.064859986,-0.003050082,-0.006100165,-0.19978039
