Time,Position->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Velocity->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Current->,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6
0,,1.951177597,-1.720434968,0.508461833,-1.785959069,4.748410225,3.156588793,,0,-0.003298059,0,0,0,0,,-1.091761708,-2.055740356,-0.612014294,-0.070151895,-0.094552554,-0.301958144
0.007959808,,1.95121336,-1.720471207,0.508425891,-1.785959069,4.748446465,3.156504869,,0.001316667,-0.006276538,0,0,0,-0.012966932,,-1.098487139,-1.748612285,-0.650125086,-0.08540231,-0.096077591,-0.215030804
0.015929856,,1.951225281,-1.72050697,0.508365989,-1.785935227,4.748422146,3.156468868,,0.007759386,-0.003259709,-0.007887218,0,0,-0.007190535,,-1.185917735,-2.075916529,-0.614256084,-0.082352221,-0.097602636,-0.19825536
0.023859968,,1.951309204,-1.720567052,0.508318424,-1.785947148,4.748434067,3.156409025,,0.004461328,-0.013141102,-0.00938285,0,0,-0.00417051,,-1.082794547,-1.896571755,-0.685994029,-0.050326359,-0.083877265,-0.34160924
0.031909888,,1.951357365,-1.720674817,0.508234501,-1.78597099,4.748398304,3.156241655,,0.01224628,-0.008666991,-0.011645471,0,0,-0.026077675,,-0.923625946,-2.084883928,-0.681510389,-0.032025866,-0.111328006,-0.181479901
0.039869952,,1.951429367,-1.720771138,0.508126676,-1.785935227,4.748410225,3.156134129,,0.009766345,-0.019059712,-0.015224759,0,0,-0.013709954,,-1.1164217,-2.125236511,-0.656850517,-0.022875618,-0.11285305,-0.187580064
0.047929856,,1.951549053,-1.720902745,0.507983208,-1.785935227,4.748410225,3.155990362,,0.018791266,-0.01574887,-0.016592558,0,0,-0.028905952,,-0.867580712,-1.992969632,-0.661334097,0.01372537,-0.109802961,-0.147928998
0.055859968,,1.951632977,-1.72104675,0.507863402,-1.78597099,4.748434067,3.155870914,,0.014278805,-0.020133499,-0.021462949,0,0,-0.018671423,,-1.185917735,-2.071433067,-0.6972031,0.03965107,-0.111328006,-0.083877265
0.063959808,,1.951741219,-1.721202676,0.507683992,-1.785947148,4.748422146,3.155667543,,0.017333983,-0.019622171,-0.02219159,0,0,-0.033076461,,-0.928109586,-1.95485878,-0.762215614,0.064051732,-0.111328006,-0.114378087
0.071879936,,1.951909065,-1.721406762,0.507492602,-1.78597099,4.748410225,3.155452013,,0.019813919,-0.023648871,-0.026652917,0,0,-0.02090049,,-1.062618256,-1.96158421,-0.793600917,0.12657842,-0.10675288,-0.015250412
0.079929856,,1.952076912,-1.721586529,0.507301271,-1.785935227,4.748410225,3.155212879,,0.021616347,-0.024351945,-0.030462302,0,0,-0.035449337,,-0.98639667,-1.925715208,-0.764457405,0.172329649,-0.102177761,0.004575124
0.087949824,,1.952244282,-1.721778218,0.507061958,-1.785791222,4.748410225,3.155045033,,0.022511169,-0.026346121,-0.030833015,0.00774181,0,-0.023105586,,-1.006572962,-1.979518771,-0.863097072,0.062526688,-0.109802961,-0.05337644
0.095969792,,1.952459812,-1.722006623,0.506798625,-1.785815541,4.748434067,3.154781818,,0.025080586,-0.027816186,-0.033108421,0.008628642,0,-0.034083135,,-1.055892825,-1.936924338,-0.921384156,0.021350577,-0.09912768,-0.006100165
0.103929856,,1.952663898,-1.722245995,0.506535351,-1.785815541,4.748410225,3.154495001,,0.023878967,-0.030193856,-0.03713512,0.00417051,0,-0.040290967,,-0.932593167,-1.901055336,-0.990880251,0.086927347,-0.12047825,-0.135728672
0.111869952,,1.952879906,-1.722497765,0.506236136,-1.785779301,4.748422146,3.154183626,,0.029260684,-0.033095635,-0.038400654,0.002756372,0,-0.03959588,,-0.997605681,-1.903297186,-1.042441964,0.137253702,-0.125053376,-0.135728672
0.11993984,,1.953059673,-1.722797696,0.505948901,-1.785647694,4.748422146,3.153824806,,0.027304858,-0.034770232,-0.041225735,0.019750003,0,-0.041321609,,-0.872064292,-1.851735473,-1.053650975,-0.007625206,-0.128103465,-0.19978039
0.12788992,,1.953335285,-1.723085705,0.505589724,-1.785623852,4.748410225,3.153561592,,0.031740621,-0.035473306,-0.044383179,0.007621967,0,-0.039476037,,-0.874306142,-1.838284612,-0.97967124,-0.036600988,-0.12657842,-0.276032448
0.135859968,,1.953551292,-1.723361317,0.505278528,-1.785623852,4.748398304,3.153238297,,0.031408258,-0.037812628,-0.047259394,0.003906858,0,-0.043167181,,-0.863097072,-1.786723018,-0.950527668,0.082352221,-0.143353865,-0.265357167
